ConceptA,ConceptB,Probability
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/FigureSkater,0.002161277508120222
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Historian,0.00044266067281776883
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Jockey,0.00045059682033840614
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/President,0.00038049418390611006
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Rebbe,5.555303264446103e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/SumoWrestler,0.000246020573139756
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Rower,0.00011639683030268026
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Monarch,6.745725392541696e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/RugbyPlayer,0.010637083060160849
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Archbishop,0.00041885223025585696
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/AmateurBoxer,0.0002424933964639172
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Boxer,0.0030232313082783277
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Chef,0.00038093508099058994
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Engineer,0.00038666674308882797
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Guitarist,5.202585596862224e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/HorseTrainer,0.0001203649040629989
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Model,0.0008928165960716952
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/PokerPlayer,0.0003267047395995685
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/PrimeMinister,0.0002442569848018366
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/FormulaOneRacer,0.0003950437876939451
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Pope,0.00017768152504537933
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/VolleyballCoach,7.362981310813486e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Artist,0.04704548250233786
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Pharaoh,0.0001604865387506652
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/AustralianRulesFootballPlayer,0.006147428048902541
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/BeachVolleyballPlayer,0.00011154696237340191
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/DartsPlayer,0.0004056253177214615
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MemberOfParliament,0.0002879057961653417
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/LacrossePlayer,0.0002076625267900091
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Photographer,0.00024205249937943736
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Sailor,0.00067369074508521
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/SnookerPlayer,0.00028481951657398277
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/TableTennisPlayer,0.00034786779965460124
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ChristianPatriarch,2.2485751308472323e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Coach,0.004809305397506198
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/RadioHost,0.00019179023174873452
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/BadmintonPlayer,0.0013394453426497828
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/BusinessPerson,0.00030465988537557595
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Curler,0.0011388371692114512
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/GaelicGamesPlayer,0.0021251239471928745
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Spy,0.00011286965362684146
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Writer,0.02029846087236779
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Chancellor,1.2345118365435784e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Saint,0.002325732120631206
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Bodybuilder,0.00016886358335578235
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Cardinal,0.0007671609269949381
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Cleric,0.01080815112893903
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Journalist,0.0008240366508928386
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Pretender,7.495250436157441e-06
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/SoccerManager,0.013122860822458239
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Swimmer,0.004478191687061831
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Senator,4.8939576377263293e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Actor,0.002157750331444383
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MartialArtist,0.0022128624670043643
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Ambassador,7.054353351677592e-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/BaseballPlayer,0.012308964804508438
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ChessPlayer,0.0014690690854868584
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Comedian,0.0006657545975645726
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Cyclist,0.0071385646948132426
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Entomologist,0.00021295329180376729
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Gymnast,0.0016273511388151243
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/IceHockeyPlayer,0.008513281804221413
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Mayor,0.0005004181908846292
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Noble,0.0033433225916106985
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/PoliceOfficer,0.00017856331921433903
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Skater,0.0008231548567238789
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/SpeedwayRider,0.0006816268926058473
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/AmericanLeader,0.00011595593321820041
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/BritishRoyalty,5.070316471518269e-05
http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Medician,0.031163731093743926
http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Entomologist,0.009351063416151483
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Priest,0.023194643711142993
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/ChristianBishop,0.39622190339550456
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Archbishop,0.0378606727243743
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Pope,0.01582177586481747
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/ChristianPatriarch,0.0020325203252032522
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Saint,0.2012593655348318
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Cardinal,0.06870715765981189
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Cricketer,0.05440036962861704
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/GolfPlayer,0.007340463043217714
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/NascarDriver,0.0024508739597681483
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/HorseRider,0.0005870980853307117
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/AmericanFootballPlayer,0.04926760382343286
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/GridironFootballPlayer,0.04836090204667951
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/MotorcycleRider,0.004523087024263826
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/NetballPlayer,0.0009796547932737318
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/SquashPlayer,0.0014642712601591417
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete,0.0001893304476362354
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/MotorsportRacer,0.014422116575446446
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Wrestler,0.00971664700988166
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/SoccerPlayer,0.33330669969238147
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/SnookerChamp,7.642696968802164e-05
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/BasketballPlayer,0.03392836361173015
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/HandballPlayer,0.008151631107861036
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Skier,0.005935248986908407
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/VolleyballPlayer,0.00868314594250955
